exerciseId,name,category,mechanic,patterns,evidenceStatus,sourcePrimary,sourceSecondary,direct,indirect,stabilizers,confidence,reviewReasons,sourceOnlyMuscles,dbppOnlyMuscles
Alternating_Deltoid_Raise,Alternating Deltoid Raise,strength,isolation,,fallback,shoulders,,shoulders,,,medium,isolation_primary_secondary_fallback,,
Car_Drivers,Car Drivers,strength,isolation,,fallback,shoulders,forearms,shoulders,forearms,,medium,isolation_primary_secondary_fallback,,
Crucifix,Crucifix,strongman,isolation,,fallback,shoulders,forearms,shoulders,forearms,,medium,isolation_primary_secondary_fallback,,
Downward_Facing_Balance,Downward Facing Balance,strength,isolation,,fallback,glutes,"abdominals, hamstrings",glutes,"abdominals, hamstrings",,medium,isolation_primary_secondary_fallback,,
Dumbbell_Lying_Pronation,Dumbbell Lying Pronation,strength,isolation,,fallback,forearms,,forearms,,,medium,isolation_primary_secondary_fallback,,
Dumbbell_Lying_Supination,Dumbbell Lying Supination,strength,isolation,,fallback,forearms,,forearms,,,medium,isolation_primary_secondary_fallback,,
Isometric_Neck_Exercise_-_Front_And_Back,Isometric Neck Exercise - Front And Back,strength,isolation,,fallback,neck,,neck,,,medium,isolation_primary_secondary_fallback,,
Isometric_Neck_Exercise_-_Sides,Isometric Neck Exercise - Sides,strength,isolation,,fallback,neck,,neck,,,medium,isolation_primary_secondary_fallback,,
Leg_Lift,Leg Lift,strength,isolation,,fallback,glutes,hamstrings,glutes,hamstrings,,medium,isolation_primary_secondary_fallback,,
Lying_Face_Down_Plate_Neck_Resistance,Lying Face Down Plate Neck Resistance,strength,isolation,,fallback,neck,,neck,,,medium,isolation_primary_secondary_fallback,,
Lying_Face_Up_Plate_Neck_Resistance,Lying Face Up Plate Neck Resistance,strength,isolation,,fallback,neck,,neck,,,medium,isolation_primary_secondary_fallback,,
One-Legged_Cable_Kickback,One-Legged Cable Kickback,strength,isolation,,fallback,glutes,hamstrings,glutes,hamstrings,,medium,isolation_primary_secondary_fallback,,
Plate_Pinch,Plate Pinch,strength,isolation,,fallback,forearms,,forearms,,,medium,isolation_primary_secondary_fallback,,
Power_Partials,Power Partials,strength,isolation,,fallback,shoulders,,shoulders,,,medium,isolation_primary_secondary_fallback,,
Reverse_Machine_Flyes,Reverse Machine Flyes,strength,isolation,,fallback,shoulders,,shoulders,,,medium,isolation_primary_secondary_fallback,,
Seated_Head_Harness_Neck_Resistance,Seated Head Harness Neck Resistance,strength,isolation,,fallback,neck,,neck,,,medium,isolation_primary_secondary_fallback,,
Single_Dumbbell_Raise,Single Dumbbell Raise,strength,isolation,,fallback,shoulders,"forearms, traps",shoulders,"forearms, traps",,medium,isolation_primary_secondary_fallback,,
Smith_Incline_Shoulder_Raise,Smith Incline Shoulder Raise,strength,isolation,,fallback,shoulders,chest,shoulders,chest,,medium,isolation_primary_secondary_fallback,,
Standing_Dumbbell_Straight-Arm_Front_Delt_Raise_Above_Head,Standing Dumbbell Straight-Arm Front Delt Raise Above Head,strength,isolation,,fallback,shoulders,,shoulders,,,medium,isolation_primary_secondary_fallback,,
Standing_Front_Barbell_Raise_Over_Head,Standing Front Barbell Raise Over Head,strength,isolation,,fallback,shoulders,,shoulders,,,medium,isolation_primary_secondary_fallback,,
Standing_Low-Pulley_Deltoid_Raise,Standing Low-Pulley Deltoid Raise,strength,isolation,,fallback,shoulders,forearms,shoulders,forearms,,medium,isolation_primary_secondary_fallback,,
Standing_Olympic_Plate_Hand_Squeeze,Standing Olympic Plate Hand Squeeze,strength,isolation,,fallback,forearms,biceps,forearms,biceps,,medium,isolation_primary_secondary_fallback,,
Wrist_Roller,Wrist Roller,strength,isolation,,fallback,forearms,shoulders,forearms,shoulders,,medium,isolation_primary_secondary_fallback,,
Wrist_Rotations_with_Straight_Bar,Wrist Rotations with Straight Bar,strength,isolation,,fallback,forearms,,forearms,,,medium,isolation_primary_secondary_fallback,,
Backward_Drag,Backward Drag,strongman,compound,sled_pull,indirect_support,quadriceps,"calves, forearms, glutes, hamstrings, lower back","quadriceps, glutes","hamstrings, calves",forearms,medium,indirect_evidence_pattern,lower back,
Bear_Crawl_Sled_Drags,Bear Crawl Sled Drags,strongman,compound,sled_pull,indirect_support,quadriceps,"calves, glutes, hamstrings","quadriceps, glutes","hamstrings, calves",forearms,medium,indirect_evidence_pattern,,forearms
Bent_Press,Bent Press,strength,compound,bent_press,indirect_support,abdominals,"glutes, hamstrings, lower back, quadriceps, shoulders, triceps","abdominals, shoulders","glutes, hamstrings, triceps","lower_back, quadriceps",medium,indirect_evidence_pattern,lower back,lower_back
Face_Pull,Face Pull,strength,compound,face_pull,indirect_support,shoulders,middle back,"shoulders, middle_back","traps, biceps",forearms,medium,indirect_evidence_pattern,middle back,"biceps, forearms, middle_back, traps"
Kipping_Muscle_Up,Kipping Muscle Up,strength,compound,muscle_up,indirect_support,lats,"abdominals, biceps, forearms, middle back, shoulders, traps, triceps","lats, chest, triceps","biceps, shoulders, middle_back","forearms, abdominals",medium,indirect_evidence_pattern,"middle back, traps","chest, middle_back"
Muscle_Up,Muscle Up,strength,compound,muscle_up,indirect_support,lats,"abdominals, biceps, forearms, middle back, shoulders, traps, triceps","lats, chest, triceps","biceps, shoulders, middle_back","forearms, abdominals",medium,indirect_evidence_pattern,"middle back, traps","chest, middle_back"
